asset_id,asset_name,company_name,parent_name,country,sector,latitude,longitude,percent_interest_parent,start_year,uid
16708,Shicaocun Coal Mine,China ENERGY Group Ningxia Coal Industry,China Energy Investment,CHN,coal mining,37.943405,106.696881,51.0,,CLT_1442
15526,Shidian Coal Mine,Shanxi Yangquan Yuxian Shidian Coal Industry,Yuxian State Owned Capital Operation,CHN,coal mining,38.102233,113.467337,45.9,,CLT_1443
16536,Shifengshan Coal Mine,Shanxi Huairen Shifengshan Coal Industry,Shanxi Huairen Shifengshan Coal Industry,CHN,coal mining,39.784722,112.833216,100.0,,CLT_1444
15527,Shigetai Coal Mine,China Shenhua Energy,China Shenhua Energy,CHN,coal mining,39.412064,110.13213,100.0,,CLT_1445
15528,Shigetu Coal Mine,"Shigetu Coal Co Ltd Chuanzhang Town, Jungar Banner",other,CHN,coal mining,39.576954,110.535944,70.331712,,CLT_1446
15529,Shihu Coal Mine,Datong Coal Mine Group Yangfangkou Mining,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.043786,112.344037,58.65300000000001,,CLT_1447
16881,Shilawusu Coal Mine,Inner Mongolia Haosheng Coal Industry,other,CHN,coal mining,39.018006,109.621986,2.54,,CLT_1448
15530,Shiping No.1 Coal Mine,Chuannan Coal Industry Luzhou Guxu Coal and Electricity,Sichuan Development Holding,CHN,coal mining,28.076036,106.018864,6.57379799999999,,CLT_1449
15531,Shiquan Coal Mine,Shanxi Shiquan Coal Industry,China Huadian Group,CHN,coal mining,36.524672,112.877561,38.7695,,CLT_1450
15532,Shitai Coal Mine,Huaibei Shitai Mining,Huaibei Shitai Mining,CHN,coal mining,34.026475,116.918535,100.0,,CLT_1451
15535,Shoushan No.1 Coal Mine,Henan Pingbao Coal Industry,Baoshan Iron & Steel,CHN,coal mining,33.818644,113.416806,40.0,,CLT_1452
15536,Shouwang Coal Mine,Shanxi Yicheng Shouwang Coal Industry,Beijing State-owned Capital Management Center,CHN,coal mining,35.770616,111.830752,100.0,,CLT_1453
15537,Shouyang Jingfu Coal Mine,Shouyang Jingfu Coal Industry,other,CHN,coal mining,37.908132,112.846801,0.022207689,,CLT_1454
15538,Shouyangshan Coal Mine,Shanxi Changzhi Liansheng Shouyangshan Coal Industry,other,CHN,coal mining,35.938553,112.971792,21.0,,CLT_1455
15539,Shu'erli Coal Mine,Datong Coal Mine Group Tongsheng Shuerli Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.812747,112.649011,29.913030000000003,,CLT_1456
15540,Shuangliu Coal Mine,Shanxi Fenxi Mining (Group),Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,37.538642,110.844272,53.505,,CLT_1457
16666,Shuangma No.1 Coal Mine,China ENERGY Group Ningxia Coal Industry,China Energy Investment,CHN,coal mining,37.784465,106.846093,51.0,,CLT_1458
16709,Shuangshan Coal Mine,Shaanxi Tenghui Mining,Shaanxi Tenghui Mining,CHN,coal mining,38.450227,109.954879,100.0,,CLT_1459
15541,Shuangyang Coal Mine,Heilongjiang Longmay MINING Group,other,CHN,coal mining,46.520158,131.738016,12.29,,CLT_1460
3163042,Shuangyashan Xin'an Coal Mine,Heilongjiang Longmay MINING Group,other,CHN,coal mining,46.616333,131.688538,12.29,,CLT_1461
15542,Shuicheng Laoyingshan Coal Mine,Guizhou Shuicheng Mining,other,CHN,coal mining,26.561264,105.012426,17.34,,CLT_1462
15543,Shuiliandong Coal Mine,Bin County Shuiliandong Coal,Shandong Energy Group,CHN,coal mining,35.048996,108.036293,85.0,,CLT_1463
15544,Shuiquan Surface Coal Mine,Shenhua Baotou Energy,China Shenhua Energy,CHN,coal mining,40.693531,110.603908,100.0,,CLT_1464
15545,Shuiyu Coal Mine,Shanxi Fenxi Mining Group Shuiyu Coal Industry,Shanxi Coking Coal Energy Group,CHN,coal mining,37.091075,111.605166,100.0,,CLT_1465
15546,Shuntong Xin'an Coal Mine,Shanxi Shuozhou Shanyin Zhongmei Shuntong Xinan Coal Industry,other,CHN,coal mining,39.7636,112.794311,30.0,,CLT_1466
15547,Shuozhou Nanyangpo Coal Mine,Tiefeng Coal Industry Co Ltd Datong Coal Mine Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.755167,112.615983,58.65300000000001,,CLT_1467
16884,Shuozhou Zhuhezhui Coal Mine,Shanxi Shuozhou Shanyin Orchid Zhuhezui Coal Industry,Beijing Ward Financial Investment Holding,CHN,coal mining,39.653768,112.624845,100.0,,CLT_1468
15548,Sidaoliu Coal Mine,Inner Mongolia Manshi Coal Group Sidaolu Coal,Inner Mongolia Manshi Coal Group Sidaolu Coal,CHN,coal mining,39.650944,110.318697,100.0,,CLT_1469
16621,Sihe No.2 Coal Mine,Shanxi Jincheng Anthracite Mining Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,35.533277,112.651247,63.054,,CLT_1470
15549,Sijiazhuang Coal Mine,Shanxi Yangmeisijiazhuang Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,37.585557,113.621388,58.79600000000001,,CLT_1471
16888,Sijichun Coal Mine,Guizhou Guineng Investment,Guizhou Guineng Investment,CHN,coal mining,26.636316,105.475375,100.0,,CLT_1472
15550,Sikeshu Coal Mine No.8 Well,Wusu Sikeshu Coal,State Power Investment,CHN,coal mining,44.160089,84.373093,100.0,,CLT_1473
15552,Sima Coal Mine,Shanxi Lu'an Group Sima Coal Industry,Shandong Energy Group,CHN,coal mining,36.101961,113.050344,0.0278237643348,,CLT_1474
3163055,Simingshan Coal Mine,Shanxi Coal Transportation and Marketing Group Simingshan Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,35.770434,113.080246,51.8886,,CLT_1475
15554,Sitai Coal Mine,Jinneng Holding Coal Industry Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,40.094906,112.968816,58.65300000000001,,CLT_1476
16579,Sitong Coal Mine,Shanxi Coal Transportation and Marketing Group Sitong Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,36.151125,111.132611,45.9,,CLT_1477
15555,Songhe Coal Mine,Guizhou Songhe Coal Industry Development,Guizhou Panjiang Investment Holding (Group),CHN,coal mining,26.039631,104.62709,61.647000000000006,,CLT_1478
15556,Songshan Coal Mine,Henan Yonghua Energy,China Resources Power Holdings,CHN,coal mining,34.559575,112.872387,41.65,,CLT_1479
3163059,Songxinzhuang Coal Mine,SINOPEC GREAT Wall ENERGY and CHEMICL(Ningxia),China Petrochemical,CHN,coal mining,37.491702,106.797794,100.0,,CLT_1480
15557,Suancigou Coal Mine,Inner Mongolia Yitaijingyuesuancigou Mining Industry,Beijing Jingneng Power,CHN,coal mining,39.705785,111.205624,24.0,,CLT_1481
15558,Sujiagou Coal Mine,Dalad Banner Sujiagou Coal,other,CHN,coal mining,39.996807,109.90643,3.08999999999999,,CLT_1482
15559,Suncun Coal Mine,Xinwen MINING Group,Shandong Energy Group,CHN,coal mining,35.872092,117.682327,100.0,,CLT_1483
15561,Sunjiagou Coal Mine,Shanxi Shidesunjiagou Coal Mine,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,38.841632,111.153329,29.98596,,CLT_1484
15562,Sunjiahao Coal Mine,Inner Mongolia Yidong Group Sunjiahao Coal,Inner Mongolia Yidong Investment Group,CHN,coal mining,39.913906,111.320592,100.0,,CLT_1485
15563,Sunsangou Coal Mine,Inner Mongolia Hongyuan Coal Group,Inner Mongolia Hongyuan Coal Group,CHN,coal mining,39.712643,110.200637,100.0,,CLT_1486
15564,Suntuan Coal Mine,Huaibei Mining,other,CHN,coal mining,33.56936,116.737815,35.372305,,CLT_1487
15565,Tai'an Coal Mine,Shanxi Coal Transportation and Marketing Group Taian Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,38.857535,111.137654,40.3578,,CLT_1488
15566,Taidongshan Coal Mine,Shanyin Anhuabaluoshan Coal Mine,Shanxi Golden Ocean Investment,CHN,coal mining,39.69595,112.666097,100.0,,CLT_1489
15567,Taiping Coal Mine,Panzhihua Pannenghua,Sichuan Coal Industry Group Dazhu Coal and Electricity Group,CHN,coal mining,26.593914,101.562157,100.0,,CLT_1490
15568,Taishan Long'an Coal Mine,Taishan Long'an Coal Industry Co Ltd of Shanxi Coal Transportation and Marketing Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,38.960925,111.163575,40.3578,,CLT_1491
15569,Taitou Coal Mine,Shanxi Xiangning County Taitou Coke,Shanxi Xiangning Coking Coal Group,CHN,coal mining,36.032481,110.918972,100.0,,CLT_1492
15570,Taiye Coal Mine,Shanxi Linxian Taiye Coal Mine,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,37.715502,110.964063,3.3590554767,,CLT_1493
15571,Taiyizhang Coal Mine,Shanxi Changzhi Liansheng Taiyizhang Coal Industry,other,CHN,coal mining,35.933201,113.034998,21.0,,CLT_1494
3163075,Taiyuan Coal Mine,Inner Mongolia Taisheng Industrial Group,Shandong Zhongda Materials,CHN,coal mining,39.354995,106.957349,75.0,,CLT_1495
16667,Taiyuan Nanling Coal Mine,Shanxi Yangmei Group Nanling Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,37.63156,112.194549,29.98596,,CLT_1496
15572,Taiyue Coal Mine,Shanxi Fenxi Taiyue Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,36.515278,112.184444,11.55708,,CLT_1497
3163077,Talahao Coal Mine,Inner Mongolia Yitai Coal,Inner Mongolia Yitai Coal,CHN,coal mining,39.79013,110.156685,100.0,,CLT_1498
15573,Tang'an Coal Mine,Shanxi Lanhua Sci-Tech Venture,Shanxi Lanhua Sci-Tech Venture,CHN,coal mining,35.725132,112.776174,100.0,,CLT_1499
16580,Tangjiahui Coal Mine,Ordos Huaxing Energy,Huaihe Energy Holding Group,CHN,coal mining,39.947429,111.220258,70.465,,CLT_1500
15575,Tangkou Coal Mine,Shandong Tangkou Coal Industry,Shandong Energy Group,CHN,coal mining,35.437915,116.519943,100.0,,CLT_1501
15576,Tangshan Coal Mine,KAILUAN (Group),KAILUAN (Group),CHN,coal mining,39.621128,118.196006,100.0,,CLT_1502
15577,Tangshangou Coal Mine,Shanxi Zhongxin Tangshan Coal Industry,Datong Xinrong District Tangshan Ditch Zhangwangzhuang Coal Mine State Owned Assets Management,CHN,coal mining,40.174192,113.02158,20.0,,CLT_1503
15578,Tangyang Coal Mine,Shandong Yulong Mining Group,Agricultural Development Bank of China,CHN,coal mining,35.630705,116.52627,3.6995,,CLT_1504
15579,Tanyaoping Coal Mine,Shanxi Luliang Lishi Tanyaoping Coal Industry,Shanxi Datuhe COKE&CHEMICALS,CHN,coal mining,37.490056,111.131541,100.0,,CLT_1505
15580,Tanyaoyu Coal Mine,Shanxi Coal Transportation and Marketing Group Tanyaoyu Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.928629,113.04786,29.40354,,CLT_1506
15581,Taoyuan Coal Mine,Huaibei Mining,other,CHN,coal mining,33.531599,117.030593,35.372305,,CLT_1507
15582,Tashan Coal Mine,Tongcoal Datang Mountain Coal Mine,Datang International Power Generation,CHN,coal mining,39.924229,113.070254,28.000000000000004,,CLT_1508
15583,Tashan Coal Mine Baidong Well,Tongcoal Datang Mountain Coal Mine,Datang International Power Generation,CHN,coal mining,39.993508,113.047421,28.000000000000004,,CLT_1509
15584,Tashidian No.2 Minefield Coal Mine,Xinjiang Production & Construction Corps Second Agricultural Division Jinchuan M Ining Ind,KAILUAN (Group),CHN,coal mining,41.908449,86.187996,22.05,,CLT_1510
15585,Tenghui Coal Mine,Huozhou Coal and Electricity Group Hejin Tenghui Coal Industry,Shanxi Coking Coal Energy Group,CHN,coal mining,35.780619,110.615906,51.0,,CLT_1511
