latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
25.6869	112.2613	L810441	solar power/pv	mw (peak value, grid connected, or unknown)	Hunan Jiahe Qianjiadong (Jingneng) solar farm	China	2019.0	80.0	[2019.0]	[80.0]	1
25.6872	103.1112	L919069	wind power/onshore	mw	Yunnan Xundian Masangjing wind farm	China	2022.0	50.0	[2022.0]	[50.0]	1
25.6898	100.5164	L803262	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Binju Juneng solar farm	China	2015.0	20.0	[2015.0]	[20.0]	1
25.6922	106.0557	L809963	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Ziyun Houyao solar farm	China	2020.0	100.0	[2020.0]	[100.0]	1
25.6922	106.0557	L809965	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Ziyun Mayuan solar farm	China	2020.0	50.0	[2020.0]	[50.0]	1
25.6989	105.1992	L904666	wind power/onshore	mw	Guizhou Qinglong Sujiatun wind farm	China	2016.0	48.0	[2016.0]	[48.0]	1
25.7005	103.1589	L904697	wind power/onshore	mw	Yunnan Xundian Susapo wind farm	China	2015.0	50.0	[2015.0]	[50.0]	1
25.701592	104.626582	M4332	coal mine/underground	mt per year	Panxian Dongli Coal Mine	China	2020.0	1.2	[2020.0]	[1.2]	1
25.703	104.3699	L809819	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Panzhou Haoheishan (Zhongdian) solar farm	China	2017.0	50.0	[2017.0]	[50.0]	1
25.7035	115.4146	L904292	wind power/onshore	mw	Jiangxi Yudu Pingshan wind farm	China	2014.0	39.0	[2014.0]	[39.0]	1
25.7075	101.8732	L803258	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Yuanmou Zhongdian solar farm	China	2014.0	20.0	[2014.0]	[20.0]	1
25.7097	105.2048	L802389	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Qinglong Sujiatun solar farm	China	2023.0	40.0	[2023.0]	[40.0]	1
25.7106	104.4771	L826816	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Panzhou Rooftop Distributed solar project	China	2022.0	46.6	[2022.0]	[46.6]	1
25.712	79.359	L829622	solar power/pv	mw (peak value, grid connected, or unknown)	Dhamnod solar farm	India	2017.0	20.0	[2017.0]	[20.0]	1
25.7169	104.3877	L904656	wind power/onshore	mw	Guizhou Panxian Laoheishan wind farm	China	2015.0	50.0	[2015.0]	[50.0]	1
25.717	111.6012	L918203	wind power/onshore	mw	Hunan Shuangpai Daguping wind farm	China	2023.0	50.0	[2023.0]	[50.0]	1
25.7179	119.5947	L902835	wind power/onshore	mw	Fujian Changle Wushan wind farm	China	2012.0	28.0	[2012.0]	[28.0]	1
25.7245	105.5068	L601007	hydropower/conventional storage	mw	Mamaya Stage 1 hydroelectric plant	China	2015.0	558.0	[2015.0]	[558.0]	1
25.7275	101.4494	L904699	wind power/onshore	mw	Yunnan Dayao Maobaitian wind farm	China	2015.0	40.0	[2015.0]	[40.0]	1
25.737777	119.592239	SCN00313	steel	total tonnes per annum	Fujian Dadonghai Industrial Group Co., Ltd.	China	2018.0	3950.0	[2018.0]	[3950.0]	1
25.7388	105.5441	L801901	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Province Guanling County Puli Agriculture and Light Complementary solar farm	China	2019.0	100.0	[2019.0]	[100.0]	1
25.7393	104.955	L904665	wind power/onshore	mw	Guizhou Pu'An Hengchongliang wind farm	China	2015.0	42.0	[2015.0]	[42.0]	1
25.7399	101.9767	L903403	wind power/onshore	mw	Yunnan Yuanmou Leiyingshan wind farm	China	2012.0	50.0	[2012.0]	[50.0]	1
25.7426	-98.681	L905373	wind power/onshore	mw	Fenicias wind farm	Mexico	2021.0	168.0	[2021.0]	[168.0]	1
25.7431	-14.5929	L900041	wind power/onshore	mw	Aftissat wind farm	Western Sahara	2018.0	202.0	[2018.0]	[202.0]	1
